trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered
18,2025-12-04,LONG,NY_AM_SILVER_BULLET,4189.89,4189.89,4226.45,0.1,4207.42,EOD,175.3,3.84,42272,2025-12-04 19:45 NPT,2025-12-05 03:45 NPT,4187.2,4191.46,4188.32,BULLISH,MSS_ENTRY,True
19,2025-12-08,LONG,ASIAN_SWEEP_WINDOW,4196.74,4189.1,4257.82,0.1,4189.1,SL,-76.4,1.0,44120,2025-12-08 12:45 NPT,2025-12-08 22:45 NPT,4195.02,4197.14,4192.1,BULLISH,OB_ENTRY,False
20,2025-12-16,LONG,ASIAN_SWEEP_WINDOW,4290.17,4286.12,4322.57,0.1,4286.12,SL,-40.5,1.0,50818,2025-12-16 12:45 NPT,2025-12-16 12:55 NPT,4285.24,4291.22,4289.12,BULLISH,MSS_ENTRY,False
21,2025-12-16,LONG,LONDON_OPEN_SILVER_BULLET,4284.83,4279.84,4324.71,0.1,4279.84,SL,-49.9,1.0,50851,2025-12-16 13:45 NPT,2025-12-16 15:10 NPT,4280.67,4286.81,4282.84,BULLISH,MSS_ENTRY,False
22,2025-12-22,LONG,ASIAN_SWEEP_WINDOW,4397.01,4397.01,4408.89,0.1,4408.89,TP,118.8,3.0,55110,2025-12-22 12:45 NPT,2025-12-22 13:15 NPT,4339.55,4397.97,4396.05,BULLISH,FVG_ENTRY,True
23,2025-12-23,LONG,NY_PM_SILVER_BULLET,4455.41,4455.41,4471.28,0.1,4471.28,TP,158.7,3.0,56698,2025-12-23 23:45 NPT,2025-12-24 00:35 NPT,4449.51,4456.74,4453.12,BULLISH,OB_ENTRY,True
24,2025-12-24,LONG,NY_PM_SILVER_BULLET,4473.63,4473.63,4499.94,0.1,4499.94,TP,263.1,5.01,57775,2025-12-25 00:25 NPT,2025-12-26 06:45 NPT,4468.29,4475.88,4471.38,BULLISH,MSS_ENTRY,True
25,2025-12-26,LONG,ASIAN_SWEEP_WINDOW,4479.65,4479.65,4511.05,0.1,4511.05,TP,314.0,7.99,58147,2025-12-26 12:45 NPT,2025-12-26 12:50 NPT,4482.43,4480.09,4478.72,BULLISH,OB_ENTRY,True
26,2025-12-29,LONG,ASIAN_SWEEP_WINDOW,4492.59,4483.64,4549.92,0.1,4483.64,SL,-89.5,1.0,59187,2025-12-29 12:45 NPT,2025-12-29 14:30 NPT,4482.43,4495.64,4486.64,BULLISH,OB_ENTRY,False
27,2026-01-15,LONG,ASIAN_SWEEP_WINDOW,4592.9,4585.46,4642.91,0.1,4585.46,SL,-74.4,1.0,72413,2026-01-15 12:45 NPT,2026-01-15 13:00 NPT,4586.1,4597.34,4588.46,H1:BULLISH,MSS_ENTRY,False
28,2026-01-21,LONG,ASIAN_SWEEP_WINDOW,4861.8,4861.8,4873.1,0.1,4873.1,TP,113.0,3.01,76701,2026-01-21 12:45 NPT,2026-01-21 13:00 NPT,4757.84,4862.57,4861.04,H1:BULLISH,FVG_ENTRY,True
29,2026-01-22,LONG,ASIAN_SWEEP_WINDOW,4793.58,4793.58,4818.66,0.1,4818.66,TP,250.8,7.99,77798,2026-01-22 12:45 NPT,2026-01-22 13:35 NPT,4772.34,4793.71,4793.44,BULLISH,FVG_ENTRY,True
30,2026-01-23,LONG,ASIAN_SWEEP_WINDOW,4954.81,4954.81,4965.82,0.1,4965.82,TP,110.1,3.0,78903,2026-01-23 12:45 NPT,2026-01-23 13:30 NPT,4930.64,4955.48,4954.14,BULLISH,FVG_ENTRY,True
31,2026-01-23,LONG,NY_PM_SILVER_BULLET,4960.96,4960.96,4970.84,0.1,4970.84,TP,98.8,2.99,79447,2026-01-23 23:55 NPT,2026-01-24 00:00 NPT,4930.64,4961.25,4960.66,BULLISH,FVG_ENTRY,True
32,2026-01-27,LONG,ASIAN_SWEEP_WINDOW,5010.96,5010.96,5073.32,0.1,5073.32,TP,623.6,7.99,81112,2026-01-27 12:45 NPT,2026-01-27 13:25 NPT,5010.27,5011.64,5006.16,BULLISH,OB_ENTRY,True
33,2026-01-28,LONG,ASIAN_SWEEP_WINDOW,5241.35,5241.35,5253.34,0.1,5253.34,TP,119.9,3.01,82223,2026-01-28 12:45 NPT,2026-01-28 12:50 NPT,5157.31,5242.35,5240.36,BULLISH,FVG_ENTRY,True
34,2026-01-29,LONG,NY_PM_SILVER_BULLET,5187.41,5187.41,5399.33,0.1,5292.99,EOD,1055.8,3.99,83808,2026-01-29 23:45 NPT,2026-01-30 03:45 NPT,5157.31,5210.9,5163.92,BULLISH,MSS_ENTRY,True
35,2026-01-30,LONG,NY_AM_SILVER_BULLET,5131.2,5115.02,5260.68,0.1,5115.02,SL,-161.8,1.0,84763,2026-01-30 19:45 NPT,2026-01-30 20:10 NPT,5112.34,5144.39,5118.02,BULLISH,MSS_ENTRY,False
36,2026-02-04,LONG,ASIAN_SWEEP_WINDOW,5074.84,5074.84,5089.39,0.1,5074.84,BE,0.0,0.0,87738,2026-02-04 12:45 NPT,2026-02-04 13:15 NPT,4910.22,5076.69,5072.99,BULLISH,FVG_ENTRY,True
37,2026-02-20,LONG,ASIAN_SWEEP_WINDOW,4996.86,4996.86,5022.24,0.1,5022.24,TP,253.8,6.77,100856,2026-02-20 12:45 NPT,2026-02-20 14:05 NPT,4981.58,4997.62,4996.11,H1:BULLISH,FVG_ENTRY,True
38,2026-02-24,LONG,NY_PM_SILVER_BULLET,5141.07,5134.95,5189.99,0.1,5134.95,SL,-61.2,1.0,103599,2026-02-24 23:45 NPT,2026-02-25 00:30 NPT,5145.25,5143.74,5137.95,BULLISH,OB_ENTRY,False
39,2026-02-26,LONG,ASIAN_SWEEP_WINDOW,5159.56,5159.56,5211.6,0.1,5159.56,BE,0.0,0.0,105204,2026-02-26 12:45 NPT,2026-02-26 19:45 NPT,5155.58,5163.06,5156.05,BULLISH,MSS_ENTRY,True
40,2026-02-26,LONG,NY_PM_SILVER_BULLET,5178.87,5173.71,5217.8,0.1,5173.71,SL,-51.6,1.0,105814,2026-02-26 23:45 NPT,2026-02-26 23:55 NPT,5155.58,5181.03,5176.71,BULLISH,FVG_ENTRY,False
41,2026-02-27,LONG,ASIAN_SWEEP_WINDOW,5178.62,5178.62,5205.65,0.1,5178.62,BE,0.0,0.0,106153,2026-02-27 12:45 NPT,2026-02-27 15:00 NPT,5173.06,5182.55,5174.68,BULLISH,MSS_ENTRY,True
42,2026-02-27,LONG,NY_AM_SILVER_BULLET,5182.02,5182.02,5205.65,0.1,5205.65,TP,236.3,6.81,106503,2026-02-27 19:45 NPT,2026-02-27 20:50 NPT,5173.06,5182.5,5181.55,BULLISH,FVG_ENTRY,True
43,2026-04-01,LONG,ASIAN_SWEEP_WINDOW,4673.97,4668.09,4685.67,0.1,4668.09,SL,-58.8,1.0,131337,2026-04-01 12:45 NPT,2026-04-01 13:00 NPT,4661.63,4675.24,4671.09,BULLISH,OB_ENTRY,False
44,2026-04-02,LONG,ASIAN_SWEEP_WINDOW,4683.27,4674.29,4755.11,0.1,4674.29,SL,-89.8,1.0,132395,2026-04-02 12:45 NPT,2026-04-02 12:50 NPT,4661.63,4689.25,4677.29,BULLISH,MSS_ENTRY,False
45,2026-04-02,LONG,LONDON_OPEN_SILVER_BULLET,4667.65,4662.31,4710.37,0.1,4662.31,SL,-53.4,1.0,132438,2026-04-02 13:45 NPT,2026-04-02 14:15 NPT,4661.63,4669.99,4665.31,BULLISH,MSS_ENTRY,False
46,2026-04-02,LONG,NY_PM_SILVER_BULLET,4667.3,4655.93,4758.3,0.1,4655.93,SL,-113.7,1.0,132914,2026-04-02 23:45 NPT,2026-04-03 00:35 NPT,4650.05,4675.68,4658.93,BULLISH,MSS_ENTRY,False
47,2026-04-07,LONG,NY_PM_SILVER_BULLET,4618.94,4618.94,4706.61,0.1,4665.32,EOD,463.8,3.91,134988,2026-04-07 23:45 NPT,2026-04-08 03:45 NPT,4616.23,4622.05,4610.08,BULLISH,OB_ENTRY,True
48,2026-04-08,LONG,ASIAN_SWEEP_WINDOW,4797.75,4797.75,4815.84,0.1,4815.84,TP,180.9,3.0,135582,2026-04-08 13:20 NPT,2026-04-08 14:10 NPT,4705.71,4800.78,4794.72,BULLISH,FVG_ENTRY,True
49,2026-04-09,LONG,ASIAN_SWEEP_WINDOW,4702.93,4702.93,4761.41,0.1,4761.41,TP,584.8,8.0,136505,2026-04-09 12:45 NPT,2026-04-09 22:20 NPT,4699.67,4705.38,4698.62,BULLISH,OB_ENTRY,True
50,2026-04-10,LONG,NY_AM_SILVER_BULLET,4742.95,4742.95,4785.59,0.1,4785.59,TP,426.4,8.0,137973,2026-04-10 19:45 NPT,2026-04-10 23:00 NPT,4737.84,4745.28,4740.62,BULLISH,MSS_ENTRY,True
