trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered
1,2025-10-14,LONG,ASIAN_SWEEP_WINDOW,4108.3,4108.3,4117.01,0.1,4117.01,TP,87.1,2.41,1391,2025-10-14 12:45 NPT,2025-10-14 12:50 NPT,4106.54,4108.89,4107.69,BULLISH,OB_ENTRY,True
2,2025-10-14,LONG,NY_AM_SILVER_BULLET,4117.41,4117.41,4147.59,0.1,4117.41,BE,0.0,0.0,1711,2025-10-14 19:45 NPT,2025-10-14 21:10 NPT,4106.54,4124.47,4110.35,BULLISH,MSS_ENTRY,True
3,2025-10-14,LONG,NY_PM_SILVER_BULLET,4136.27,4132.07,4148.87,0.1,4132.07,SL,-42.0,1.0,1930,2025-10-15 00:05 NPT,2025-10-15 00:35 NPT,4106.54,4137.47,4135.07,BULLISH,FVG_ENTRY,False
4,2025-10-15,LONG,ASIAN_SWEEP_WINDOW,4186.66,4186.66,4199.43,0.1,4186.66,BE,0.0,0.0,2492,2025-10-15 12:45 NPT,2025-10-15 13:05 NPT,4140.73,4187.92,4185.41,BULLISH,FVG_ENTRY,True
5,2025-10-16,LONG,ASIAN_SWEEP_WINDOW,4202.76,4202.76,4218.12,0.1,4218.12,TP,153.6,2.74,3599,2025-10-16 12:45 NPT,2025-10-16 12:50 NPT,4199.79,4205.35,4200.16,BULLISH,MSS_ENTRY,True
6,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4260.96,4255.47,4304.83,0.1,4255.47,SL,-54.9,1.0,5792,2025-10-20 12:45 NPT,2025-10-20 14:05 NPT,4219.03,4263.44,4258.47,BULLISH,FVG_ENTRY,False
7,2025-10-21,LONG,NY_AM_SILVER_BULLET,4339.52,4339.52,4381.53,0.1,4339.52,BE,0.0,0.0,7247,2025-10-21 19:45 NPT,2025-10-21 19:50 NPT,4333.07,4343.96,4335.08,BULLISH,MSS_ENTRY,True
8,2025-11-10,LONG,ASIAN_SWEEP_WINDOW,3998.0,3998.0,4027.79,0.1,4027.79,TP,297.9,7.8,22275,2025-11-10 12:45 NPT,2025-11-10 12:50 NPT,3997.76,3998.38,3997.18,H1:BULLISH,OB_ENTRY,True
9,2025-11-11,LONG,ASIAN_SWEEP_WINDOW,4131.26,4127.63,4142.15,0.1,4127.63,SL,-36.3,1.0,23423,2025-11-11 13:40 NPT,2025-11-11 13:45 NPT,4115.06,4131.89,4130.63,H1:BULLISH,FVG_ENTRY,False
10,2025-11-14,LONG,ASIAN_SWEEP_WINDOW,4180.48,4174.83,4225.68,0.1,4174.83,SL,-56.5,1.0,26675,2025-11-14 12:45 NPT,2025-11-14 14:10 NPT,4169.86,4181.65,4177.83,BULLISH,OB_ENTRY,False
11,2025-11-26,LONG,ASIAN_SWEEP_WINDOW,4131.17,4131.17,4159.28,0.1,4159.28,TP,281.1,7.05,35523,2025-11-26 12:45 NPT,2025-11-26 12:50 NPT,4129.74,4132.16,4130.18,H1:BULLISH,MSS_ENTRY,True
12,2025-11-28,LONG,NY_PM_SILVER_BULLET,4191.94,4191.94,4206.79,0.1,4206.79,TP,148.5,3.0,38248,2025-11-28 23:45 NPT,2025-11-29 00:05 NPT,4157.95,4193.89,4189.99,BULLISH,FVG_ENTRY,True
13,2025-12-02,LONG,ASIAN_SWEEP_WINDOW,4212.6,4205.28,4264.63,0.1,4205.28,SL,-73.2,1.0,39807,2025-12-02 12:45 NPT,2025-12-02 14:10 NPT,4206.13,4214.35,4208.28,BULLISH,OB_ENTRY,False
14,2025-12-02,LONG,NY_AM_SILVER_BULLET,4201.08,4201.08,4242.84,0.1,4201.08,BE,0.0,0.0,40121,2025-12-02 19:45 NPT,2025-12-02 23:00 NPT,4191.11,4203.3,4198.86,BULLISH,FVG_ENTRY,True
15,2025-12-03,LONG,ASIAN_SWEEP_WINDOW,4207.42,4200.77,4236.03,0.1,4200.77,SL,-66.5,1.0,40898,2025-12-03 12:45 NPT,2025-12-03 15:15 NPT,4202.84,4211.07,4203.77,BULLISH,MSS_ENTRY,False
16,2025-12-03,LONG,NY_AM_SILVER_BULLET,4205.5,4205.5,4232.94,0.1,4232.94,TP,274.4,8.0,41242,2025-12-03 19:45 NPT,2025-12-03 21:35 NPT,4202.84,4205.93,4205.07,BULLISH,FVG_ENTRY,True
17,2025-12-04,LONG,ASIAN_SWEEP_WINDOW,4196.85,4193.04,4227.37,0.1,4193.04,SL,-38.1,1.0,42029,2025-12-04 12:45 NPT,2025-12-04 13:00 NPT,4194.61,4197.35,4196.04,BULLISH,OB_ENTRY,False
