trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
1,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4260.96,4256.47,4296.83,0.1,4256.47,SL,-44.9,1.0,5792,2025-10-20 12:45 NPT,2025-10-20 14:05 NPT,4219.03,4263.44,4258.47,BULLISH,False
2,2025-10-21,LONG,NY_AM_SILVER_BULLET,4261.49,4259.16,4280.09,0.1,4259.16,SL,-23.3,1.0,7259,2025-10-21 20:00 NPT,2025-10-21 20:05 NPT,4333.07,4261.81,4261.16,BULLISH,False
3,2025-10-24,LONG,ASIAN_SWEEP_WINDOW,4109.26,4104.97,4143.58,0.1,4104.97,SL,-42.9,1.0,10164,2025-10-24 13:40 NPT,2025-10-24 14:40 NPT,4105.92,4111.55,4106.97,BULLISH,False
4,2025-11-05,SHORT,ASIAN_SWEEP_WINDOW,3970.4,3972.74,3951.68,0.1,3972.74,SL,-23.4,1.0,18995,2025-11-05 13:35 NPT,2025-11-05 14:20 NPT,3973.39,3970.74,3970.06,BEARISH,False
5,2025-11-07,SHORT,NY_AM_SILVER_BULLET,4004.7,4004.7,3986.43,0.1,4004.7,BE,0.0,0.0,21506,2025-11-07 20:10 NPT,2025-11-07 22:00 NPT,4003.6,4004.99,4004.42,BEARISH,True
6,2025-11-14,LONG,ASIAN_SWEEP_WINDOW,4192.96,4190.9,4209.4,0.1,4190.9,SL,-20.6,1.0,26727,2025-11-14 13:30 NPT,2025-11-14 13:35 NPT,4169.86,4193.01,4192.9,BULLISH,False
7,2025-11-14,LONG,NY_PM_SILVER_BULLET,4091.82,4085.83,4139.74,0.1,4085.83,SL,-59.9,1.0,27217,2025-11-15 00:10 NPT,2025-11-15 02:05 NPT,4145.36,4095.81,4087.83,BULLISH,False
8,2025-11-17,LONG,NY_AM_SILVER_BULLET,4074.8,4070.75,4107.25,0.1,4070.75,SL,-40.5,1.0,28113,2025-11-17 19:45 NPT,2025-11-17 21:20 NPT,4070.22,4076.86,4072.75,BULLISH,False
9,2025-12-02,LONG,NY_AM_SILVER_BULLET,4201.08,4201.08,4234.84,0.1,4201.08,BE,0.0,0.0,40121,2025-12-02 19:45 NPT,2025-12-02 23:00 NPT,4191.11,4203.3,4198.86,BULLISH,True
10,2025-12-02,LONG,NY_PM_SILVER_BULLET,4181.04,4181.04,4208.99,0.1,4197.74,EOD,167.0,4.77,40344,2025-12-03 00:25 NPT,2025-12-03 03:45 NPT,4191.11,4182.53,4179.54,BULLISH,True
11,2025-12-04,LONG,ASIAN_SWEEP_WINDOW,4193.62,4191.11,4213.7,0.1,4191.11,SL,-25.1,1.0,42059,2025-12-04 13:20 NPT,2025-12-04 13:25 NPT,4194.61,4194.13,4193.11,BULLISH,False
12,2025-12-04,LONG,NY_PM_SILVER_BULLET,4215.3,4213.18,4232.3,0.1,4213.18,SL,-21.2,1.0,42578,2025-12-05 00:10 NPT,2025-12-05 00:20 NPT,4187.2,4215.43,4215.18,BULLISH,False
13,2025-12-08,LONG,ASIAN_SWEEP_WINDOW,4210.67,4205.93,4248.59,0.1,4205.93,SL,-47.4,1.0,44244,2025-12-08 13:25 NPT,2025-12-08 15:45 NPT,4195.02,4213.41,4207.93,BULLISH,False
14,2025-12-16,LONG,ASIAN_SWEEP_WINDOW,4278.33,4278.33,4302.65,0.1,4278.33,BE,0.0,0.0,50831,2025-12-16 13:35 NPT,2025-12-16 16:00 NPT,4285.24,4279.37,4277.29,BULLISH,True
15,2026-01-22,LONG,ASIAN_SWEEP_WINDOW,4793.58,4793.58,4810.66,0.1,4810.66,TP,170.8,7.98,77798,2026-01-22 12:45 NPT,2026-01-22 13:35 NPT,4772.34,4793.71,4793.44,BULLISH,True
16,2026-01-29,LONG,NY_PM_SILVER_BULLET,5211.34,5211.34,5333.42,0.1,5333.42,TP,1220.8,8.0,83851,2026-01-29 23:55 NPT,2026-01-30 01:00 NPT,5157.31,5224.6,5198.08,BULLISH,True
17,2026-01-30,LONG,NY_AM_SILVER_BULLET,5123.24,5118.24,5163.29,0.1,5118.24,SL,-50.0,1.0,84770,2026-01-30 19:50 NPT,2026-01-30 20:00 NPT,5112.34,5126.25,5120.24,BULLISH,False
18,2026-02-02,LONG,NY_AM_SILVER_BULLET,4783.91,4780.71,4809.51,0.1,4780.71,SL,-32.0,1.0,85911,2026-02-02 20:35 NPT,2026-02-02 20:40 NPT,4584.54,4785.11,4782.71,BULLISH,False
19,2026-02-02,LONG,NY_PM_SILVER_BULLET,4656.94,4656.94,4759.78,0.1,4656.94,BE,0.0,0.0,86061,2026-02-03 00:00 NPT,2026-02-03 01:15 NPT,4584.54,4667.8,4646.09,BULLISH,True
20,2026-04-07,LONG,NY_PM_SILVER_BULLET,4637.38,4637.38,4681.11,0.1,4681.11,TP,437.3,8.01,135025,2026-04-08 00:05 NPT,2026-04-08 02:20 NPT,4616.23,4640.85,4633.92,BULLISH,True
