trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered
1,2025-12-16,LONG,ASIAN_SWEEP_WINDOW,4284.83,4279.84,4324.71,0.1,4279.84,SL,-49.9,1.0,50846,2025-12-16 13:40 NPT,2025-12-16 15:10 NPT,4280.67,4286.81,4282.84,BULLISH,MSS_ENTRY,False
2,2025-12-24,LONG,NY_PM_SILVER_BULLET,4473.63,4473.63,4499.94,0.1,4499.94,TP,263.1,5.01,57775,2025-12-25 00:25 NPT,2025-12-26 06:45 NPT,4468.29,4475.88,4471.38,BULLISH,MSS_ENTRY,True
3,2026-04-02,LONG,ASIAN_SWEEP_WINDOW,4667.65,4662.31,4710.37,0.1,4662.31,SL,-53.4,1.0,132433,2026-04-02 13:40 NPT,2026-04-02 14:15 NPT,4661.63,4669.99,4665.31,BULLISH,MSS_ENTRY,False
