trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
1,2025-10-14,LONG,ASIAN_SWEEP_WINDOW,4165.01,4165.01,4178.39,0.1,4178.39,TP,133.8,3.0,1432,2025-10-14 13:40 NPT,2025-10-14 14:00 NPT,4106.54,4166.47,4163.55,BULLISH,True
2,2025-10-14,LONG,NY_AM_SILVER_BULLET,4131.6,4128.41,4141.19,0.1,4128.41,SL,-31.9,1.0,1746,2025-10-14 20:10 NPT,2025-10-14 20:20 NPT,4106.54,4131.8,4131.41,BULLISH,False
3,2025-10-14,LONG,NY_PM_SILVER_BULLET,4136.27,4132.07,4148.87,0.1,4132.07,SL,-42.0,1.0,1930,2025-10-15 00:05 NPT,2025-10-15 00:35 NPT,4106.54,4137.47,4135.07,BULLISH,False
4,2025-10-15,LONG,ASIAN_SWEEP_WINDOW,4186.66,4186.66,4199.43,0.1,4186.66,BE,0.0,0.0,2492,2025-10-15 12:45 NPT,2025-10-15 13:05 NPT,4140.73,4187.92,4185.41,BULLISH,True
5,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4260.96,4255.47,4304.83,0.1,4255.47,SL,-54.9,1.0,5792,2025-10-20 12:45 NPT,2025-10-20 14:05 NPT,4219.03,4263.44,4258.47,BULLISH,False
6,2025-10-21,LONG,NY_AM_SILVER_BULLET,4261.49,4258.16,4288.09,0.1,4258.16,SL,-33.3,1.0,7259,2025-10-21 20:00 NPT,2025-10-21 20:05 NPT,4333.07,4261.81,4261.16,BULLISH,False
7,2025-11-10,LONG,ASIAN_SWEEP_WINDOW,4051.97,4051.97,4061.27,0.1,4061.27,TP,93.0,3.0,22294,2025-11-10 13:10 NPT,2025-11-10 13:20 NPT,3997.76,4052.07,4051.87,H1:BULLISH,True
8,2025-11-11,LONG,ASIAN_SWEEP_WINDOW,4131.26,4127.63,4142.15,0.1,4127.63,SL,-36.3,1.0,23423,2025-11-11 13:40 NPT,2025-11-11 13:45 NPT,4115.06,4131.89,4130.63,H1:BULLISH,False
9,2025-11-14,LONG,ASIAN_SWEEP_WINDOW,4192.96,4189.9,4217.4,0.1,4189.9,SL,-30.6,1.0,26726,2025-11-14 13:30 NPT,2025-11-14 13:40 NPT,4169.86,4193.01,4192.9,BULLISH,False
10,2025-11-26,LONG,ASIAN_SWEEP_WINDOW,4162.42,4159.33,4171.67,0.1,4159.33,SL,-30.9,1.0,35521,2025-11-26 12:55 NPT,2025-11-26 13:50 NPT,4129.74,4162.5,4162.33,H1:BULLISH,False
11,2025-11-28,LONG,NY_PM_SILVER_BULLET,4191.94,4191.94,4206.79,0.1,4206.79,TP,148.5,3.0,38248,2025-11-28 23:45 NPT,2025-11-29 00:05 NPT,4157.95,4193.89,4189.99,BULLISH,True
