trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
1,2026-01-22,LONG,ASIAN_SWEEP_WINDOW,4793.58,4791.44,4888.43,0.1,4823.15,EOD,295.7,13.82,8980,2026-01-22 12:45 NPT,2026-01-22 13:45 NPT,4772.34,4793.71,4793.44,BULLISH,False
2,2026-01-29,LONG,NY_PM_SILVER_BULLET,5211.34,5196.08,5418.95,0.1,5287.32,EOD,759.8,4.98,15038,2026-01-29 23:55 NPT,2026-01-30 00:45 NPT,5157.31,5224.6,5198.08,BULLISH,False
3,2026-01-30,LONG,NY_AM_SILVER_BULLET,5123.24,5118.24,5598.03,0.1,5118.24,SL,-50.0,1.0,15954,2026-01-30 19:50 NPT,2026-01-30 20:00 NPT,5112.34,5126.25,5120.24,BULLISH,False
4,2026-02-02,LONG,NY_AM_SILVER_BULLET,4783.91,4780.71,5450.96,0.1,4780.71,SL,-32.0,1.0,17095,2026-02-02 20:35 NPT,2026-02-02 20:40 NPT,4584.54,4785.11,4782.71,BULLISH,False
5,2026-02-02,LONG,NY_PM_SILVER_BULLET,4656.94,4644.09,5450.96,0.1,4672.33,EOD,153.9,1.2,17251,2026-02-03 00:00 NPT,2026-02-03 00:45 NPT,4584.54,4667.8,4646.09,BULLISH,False
6,2026-04-07,LONG,NY_PM_SILVER_BULLET,4637.38,4631.92,4706.61,0.1,4662.54,EOD,251.6,4.61,66228,2026-04-08 00:05 NPT,2026-04-08 00:45 NPT,4616.23,4640.85,4633.92,BULLISH,False
